operation_id,date,warehouse_id,warehouse_name,sku_id,operation_type,qty,unit_cost_byn
MOV000101,2025-01-23,WH1,Склад Минск,SKU_001,income,157,8.64
MOV000102,2025-01-23,WH1,Склад Минск,SKU_006,income,340,10.08
MOV000103,2025-01-23,WH1,Склад Минск,SKU_008,income,359,17.28
MOV000104,2025-01-23,WH2,Склад Брест,SKU_001,income,204,8.64
MOV000105,2025-01-23,WH2,Склад Брест,SKU_008,income,310,17.28
MOV000106,2025-01-23,WH1,Склад Минск,SKU_001,outcome,39,8.64
MOV000107,2025-01-23,WH1,Склад Минск,SKU_012,outcome,34,5.4
MOV000108,2025-01-24,WH1,Склад Минск,SKU_007,outcome,27,15.84
MOV000109,2025-01-24,WH2,Склад Брест,SKU_007,outcome,45,15.84
MOV000110,2025-01-24,WH2,Склад Брест,SKU_008,outcome,30,17.28
MOV000111,2025-01-25,WH1,Склад Минск,SKU_005,outcome,20,8.28
MOV000112,2025-01-26,WH2,Склад Брест,SKU_001,outcome,14,8.64
MOV000113,2025-01-26,WH2,Склад Брест,SKU_004,outcome,47,9.36
MOV000114,2025-01-26,WH2,Склад Брест,SKU_011,outcome,41,6.48
MOV000115,2025-01-27,WH1,Склад Минск,SKU_001,income,305,8.64
MOV000116,2025-01-27,WH2,Склад Брест,SKU_005,income,273,8.28
MOV000117,2025-01-27,WH2,Склад Брест,SKU_006,income,268,10.08
MOV000118,2025-01-27,WH2,Склад Брест,SKU_010,income,235,5.76
MOV000119,2025-01-27,WH2,Склад Брест,SKU_001,outcome,30,8.64
MOV000120,2025-01-27,WH2,Склад Брест,SKU_008,outcome,13,17.28
MOV000121,2025-01-28,WH1,Склад Минск,SKU_002,outcome,27,10.8
MOV000122,2025-01-28,WH2,Склад Брест,SKU_012,outcome,31,5.4
MOV000123,2025-01-29,WH1,Склад Минск,SKU_012,outcome,41,5.4
MOV000124,2025-01-29,WH2,Склад Брест,SKU_003,outcome,34,12.96
MOV000125,2025-01-29,WH2,Склад Брест,SKU_005,outcome,42,8.28
MOV000126,2025-01-29,WH2,Склад Брест,SKU_010,outcome,48,5.76
MOV000127,2025-01-30,WH1,Склад Минск,SKU_001,income,363,8.64
MOV000128,2025-01-30,WH2,Склад Брест,SKU_004,income,328,9.36
MOV000129,2025-01-30,WH2,Склад Брест,SKU_005,income,300,8.28
MOV000130,2025-01-30,WH2,Склад Брест,SKU_007,income,241,15.84
MOV000131,2025-01-30,WH2,Склад Брест,SKU_010,income,344,5.76
MOV000132,2025-01-30,WH1,Склад Минск,SKU_001,outcome,51,8.64
MOV000133,2025-01-30,WH1,Склад Минск,SKU_003,outcome,38,12.96
MOV000134,2025-01-30,WH1,Склад Минск,SKU_004,outcome,54,9.36
MOV000135,2025-01-30,WH1,Склад Минск,SKU_009,outcome,19,18.72
MOV000136,2025-01-30,WH2,Склад Брест,SKU_010,outcome,23,5.76
MOV000137,2025-01-31,WH1,Склад Минск,SKU_002,outcome,43,10.8
MOV000138,2025-01-31,WH1,Склад Минск,SKU_010,outcome,37,5.76
MOV000139,2025-01-31,WH2,Склад Брест,SKU_006,outcome,48,10.08
MOV000140,2025-01-31,WH2,Склад Брест,SKU_007,outcome,34,15.84
MOV000141,2025-02-01,WH1,Склад Минск,SKU_004,outcome,26,9.36
MOV000142,2025-02-01,WH2,Склад Брест,SKU_001,outcome,32,8.64
MOV000143,2025-02-02,WH1,Склад Минск,SKU_008,outcome,19,17.28
MOV000144,2025-02-02,WH2,Склад Брест,SKU_010,outcome,23,5.76
MOV000145,2025-02-03,WH1,Склад Минск,SKU_002,income,358,10.8
MOV000146,2025-02-03,WH1,Склад Минск,SKU_003,income,352,12.96
MOV000147,2025-02-03,WH1,Склад Минск,SKU_005,income,321,8.28
MOV000148,2025-02-03,WH1,Склад Минск,SKU_006,income,196,10.08
MOV000149,2025-02-03,WH1,Склад Минск,SKU_011,income,278,6.48
MOV000150,2025-02-03,WH2,Склад Брест,SKU_003,income,226,12.96
MOV000151,2025-02-03,WH2,Склад Брест,SKU_007,income,370,15.84
MOV000152,2025-02-03,WH2,Склад Брест,SKU_011,income,264,6.48
MOV000153,2025-02-03,WH2,Склад Брест,SKU_012,income,234,5.4
MOV000154,2025-02-03,WH2,Склад Брест,SKU_009,outcome,35,18.72
MOV000155,2025-02-04,WH2,Склад Брест,SKU_003,outcome,28,12.96
MOV000156,2025-02-04,WH2,Склад Брест,SKU_007,outcome,49,15.84
MOV000157,2025-02-04,WH2,Склад Брест,SKU_010,outcome,27,5.76
MOV000158,2025-02-05,WH2,Склад Брест,SKU_001,outcome,21,8.64
MOV000159,2025-02-05,WH2,Склад Брест,SKU_011,outcome,13,6.48
MOV000160,2025-02-06,WH2,Склад Брест,SKU_001,income,298,8.64
MOV000161,2025-02-06,WH2,Склад Брест,SKU_002,income,266,10.8
MOV000162,2025-02-06,WH2,Склад Брест,SKU_003,income,214,12.96
MOV000163,2025-02-06,WH2,Склад Брест,SKU_011,income,371,6.48
MOV000164,2025-02-06,WH1,Склад Минск,SKU_006,outcome,41,10.08
MOV000165,2025-02-06,WH1,Склад Минск,SKU_008,outcome,34,17.28
MOV000166,2025-02-06,WH1,Склад Минск,SKU_011,outcome,48,6.48
MOV000167,2025-02-07,WH2,Склад Брест,SKU_008,outcome,41,17.28
MOV000168,2025-02-08,WH1,Склад Минск,SKU_010,outcome,26,5.76
MOV000169,2025-02-08,WH2,Склад Брест,SKU_003,outcome,24,12.96
MOV000170,2025-02-08,WH2,Склад Брест,SKU_006,outcome,43,10.08
MOV000171,2025-02-08,WH2,Склад Брест,SKU_007,outcome,38,15.84
MOV000172,2025-02-09,WH1,Склад Минск,SKU_008,outcome,36,17.28
MOV000173,2025-02-09,WH2,Склад Брест,SKU_004,outcome,26,9.36
MOV000174,2025-02-09,WH2,Склад Брест,SKU_008,outcome,41,17.28
MOV000175,2025-02-10,WH1,Склад Минск,SKU_003,income,254,12.96
MOV000176,2025-02-10,WH1,Склад Минск,SKU_004,income,293,9.36
MOV000177,2025-02-10,WH2,Склад Брест,SKU_012,income,386,5.4
MOV000178,2025-02-10,WH1,Склад Минск,SKU_008,outcome,28,17.28
MOV000179,2025-02-10,WH1,Склад Минск,SKU_010,outcome,19,5.76
MOV000180,2025-02-10,WH2,Склад Брест,SKU_007,outcome,24,15.84
MOV000181,2025-02-11,WH1,Склад Минск,SKU_005,outcome,44,8.28
MOV000182,2025-02-11,WH2,Склад Брест,SKU_005,outcome,37,8.28
MOV000183,2025-02-11,WH2,Склад Брест,SKU_011,outcome,33,6.48
MOV000184,2025-02-12,WH1,Склад Минск,SKU_008,outcome,29,17.28
MOV000185,2025-02-12,WH2,Склад Брест,SKU_011,outcome,39,6.48
MOV000186,2025-02-13,WH1,Склад Минск,SKU_012,income,249,5.4
MOV000187,2025-02-13,WH2,Склад Брест,SKU_005,income,318,8.28
MOV000188,2025-02-13,WH1,Склад Минск,SKU_011,outcome,27,6.48
MOV000189,2025-02-14,WH1,Склад Минск,SKU_012,outcome,26,5.4
MOV000190,2025-02-14,WH2,Склад Брест,SKU_007,outcome,28,15.84
MOV000191,2025-02-14,WH2,Склад Брест,SKU_008,outcome,31,17.28
MOV000192,2025-02-15,WH1,Склад Минск,SKU_001,outcome,34,8.64
MOV000193,2025-02-15,WH1,Склад Минск,SKU_009,outcome,37,18.72
MOV000194,2025-02-16,WH1,Склад Минск,SKU_002,outcome,5,10.8
MOV000195,2025-02-16,WH1,Склад Минск,SKU_009,outcome,26,18.72
MOV000196,2025-02-16,WH1,Склад Минск,SKU_011,outcome,31,6.48
MOV000197,2025-02-17,WH1,Склад Минск,SKU_006,income,390,10.08
MOV000198,2025-02-17,WH2,Склад Брест,SKU_001,income,235,8.64
MOV000199,2025-02-17,WH2,Склад Брест,SKU_005,income,309,8.28
MOV000200,2025-02-17,WH2,Склад Брест,SKU_006,income,389,10.08
MOV000201,2025-02-17,WH2,Склад Брест,SKU_003,outcome,21,12.96
MOV000202,2025-02-18,WH1,Склад Минск,SKU_012,outcome,38,5.4
MOV000203,2025-02-18,WH2,Склад Брест,SKU_002,outcome,26,10.8
MOV000204,2025-02-18,WH2,Склад Брест,SKU_008,outcome,29,17.28
MOV000205,2025-02-19,WH1,Склад Минск,SKU_006,outcome,26,10.08
MOV000206,2025-02-19,WH1,Склад Минск,SKU_009,outcome,27,18.72
MOV000207,2025-02-19,WH1,Склад Минск,SKU_012,outcome,62,5.4
MOV000208,2025-02-19,WH2,Склад Брест,SKU_003,outcome,43,12.96
MOV000209,2025-02-20,WH1,Склад Минск,SKU_001,income,366,8.64
MOV000210,2025-02-20,WH1,Склад Минск,SKU_002,income,329,10.8
MOV000211,2025-02-20,WH1,Склад Минск,SKU_003,income,203,12.96
MOV000212,2025-02-20,WH1,Склад Минск,SKU_005,income,323,8.28
MOV000213,2025-02-20,WH1,Склад Минск,SKU_010,income,364,5.76
MOV000214,2025-02-20,WH2,Склад Брест,SKU_001,income,248,8.64
MOV000215,2025-02-20,WH2,Склад Брест,SKU_005,income,357,8.28
MOV000216,2025-02-20,WH2,Склад Брест,SKU_009,income,342,18.72
MOV000217,2025-02-20,WH2,Склад Брест,SKU_003,outcome,53,12.96
MOV000218,2025-02-21,WH1,Склад Минск,SKU_005,outcome,30,8.28
MOV000219,2025-02-22,WH2,Склад Брест,SKU_005,outcome,24,8.28
MOV000220,2025-02-23,WH1,Склад Минск,SKU_007,outcome,31,15.84
MOV000221,2025-02-23,WH2,Склад Брест,SKU_002,outcome,49,10.8
MOV000222,2025-02-23,WH2,Склад Брест,SKU_010,outcome,16,5.76
MOV000223,2025-02-24,WH1,Склад Минск,SKU_003,income,175,12.96
MOV000224,2025-02-24,WH1,Склад Минск,SKU_004,income,305,9.36
MOV000225,2025-02-24,WH1,Склад Минск,SKU_009,income,273,18.72
MOV000226,2025-02-24,WH1,Склад Минск,SKU_010,income,300,5.76
MOV000227,2025-02-24,WH1,Склад Минск,SKU_012,income,356,5.4
MOV000228,2025-02-24,WH2,Склад Брест,SKU_001,income,266,8.64
MOV000229,2025-02-24,WH2,Склад Брест,SKU_008,income,187,17.28
MOV000230,2025-02-24,WH2,Склад Брест,SKU_010,income,422,5.76
MOV000231,2025-02-24,WH2,Склад Брест,SKU_002,outcome,25,10.8
MOV000232,2025-02-24,WH2,Склад Брест,SKU_003,outcome,24,12.96
MOV000233,2025-02-24,WH2,Склад Брест,SKU_007,outcome,46,15.84
MOV000234,2025-02-24,WH2,Склад Брест,SKU_011,outcome,31,6.48
MOV000235,2025-02-25,WH1,Склад Минск,SKU_001,outcome,34,8.64
MOV000236,2025-02-25,WH2,Склад Брест,SKU_003,outcome,39,12.96
MOV000237,2025-02-26,WH1,Склад Минск,SKU_003,outcome,45,12.96
MOV000238,2025-02-26,WH1,Склад Минск,SKU_010,outcome,31,5.76
MOV000239,2025-02-26,WH1,Склад Минск,SKU_012,outcome,50,5.4
MOV000240,2025-02-26,WH2,Склад Брест,SKU_002,outcome,13,10.8
MOV000241,2025-02-27,WH1,Склад Минск,SKU_004,income,345,9.36
MOV000242,2025-02-27,WH1,Склад Минск,SKU_006,income,249,10.08
MOV000243,2025-02-27,WH1,Склад Минск,SKU_007,income,382,15.84
MOV000244,2025-02-27,WH1,Склад Минск,SKU_008,income,308,17.28
MOV000245,2025-02-27,WH2,Склад Брест,SKU_005,income,259,8.28
MOV000246,2025-02-27,WH2,Склад Брест,SKU_010,income,339,5.76
MOV000247,2025-02-27,WH2,Склад Брест,SKU_012,income,353,5.4
MOV000248,2025-02-27,WH2,Склад Брест,SKU_002,outcome,41,10.8
MOV000249,2025-02-28,WH1,Склад Минск,SKU_006,outcome,24,10.08
MOV000250,2025-02-28,WH1,Склад Минск,SKU_008,outcome,30,17.28
MOV000251,2025-02-28,WH2,Склад Брест,SKU_007,outcome,34,15.84
MOV000252,2025-03-01,WH1,Склад Минск,SKU_010,outcome,34,5.76
MOV000253,2025-03-01,WH2,Склад Брест,SKU_012,outcome,42,5.4
MOV000254,2025-03-02,WH1,Склад Минск,SKU_011,outcome,14,6.48
MOV000255,2025-03-02,WH2,Склад Брест,SKU_002,outcome,38,10.8
MOV000256,2025-03-02,WH2,Склад Брест,SKU_007,outcome,32,15.84
MOV000257,2025-03-02,WH2,Склад Брест,SKU_009,outcome,26,18.72
MOV000258,2025-03-02,WH2,Склад Брест,SKU_011,outcome,27,6.48
MOV000259,2025-03-03,WH1,Склад Минск,SKU_004,income,287,9.36
MOV000260,2025-03-03,WH1,Склад Минск,SKU_010,income,83,5.76
MOV000261,2025-03-03,WH2,Склад Брест,SKU_006,income,257,10.08
MOV000262,2025-03-03,WH2,Склад Брест,SKU_007,income,247,15.84
MOV000263,2025-03-03,WH2,Склад Брест,SKU_008,income,331,17.28
MOV000264,2025-03-03,WH2,Склад Брест,SKU_011,income,251,6.48
MOV000265,2025-03-03,WH2,Склад Брест,SKU_012,income,287,5.4
MOV000266,2025-03-03,WH1,Склад Минск,SKU_003,outcome,50,12.96
MOV000267,2025-03-03,WH2,Склад Брест,SKU_007,outcome,44,15.84
MOV000268,2025-03-03,WH2,Склад Брест,SKU_010,outcome,44,5.76
MOV000269,2025-03-04,WH1,Склад Минск,SKU_002,outcome,30,10.8
MOV000270,2025-03-04,WH2,Склад Брест,SKU_004,outcome,40,9.36
MOV000271,2025-03-05,WH1,Склад Минск,SKU_006,outcome,32,10.08
MOV000272,2025-03-05,WH2,Склад Брест,SKU_001,outcome,33,8.64
MOV000273,2025-03-05,WH2,Склад Брест,SKU_008,outcome,39,17.28
MOV000274,2025-03-06,WH1,Склад Минск,SKU_002,income,264,10.8
MOV000275,2025-03-06,WH1,Склад Минск,SKU_005,income,389,8.28
MOV000276,2025-03-06,WH1,Склад Минск,SKU_009,income,290,18.72
MOV000277,2025-03-06,WH2,Склад Брест,SKU_006,income,337,10.08
MOV000278,2025-03-06,WH2,Склад Брест,SKU_007,income,387,15.84
MOV000279,2025-03-06,WH2,Склад Брест,SKU_012,income,361,5.4
MOV000280,2025-03-06,WH2,Склад Брест,SKU_002,outcome,20,10.8
MOV000281,2025-03-06,WH2,Склад Брест,SKU_009,outcome,39,18.72
MOV000282,2025-03-07,WH1,Склад Минск,SKU_010,outcome,43,5.76
MOV000283,2025-03-07,WH2,Склад Брест,SKU_009,outcome,43,18.72
MOV000284,2025-03-07,WH2,Склад Брест,SKU_010,outcome,23,5.76
MOV000285,2025-03-07,WH2,Склад Брест,SKU_012,outcome,28,5.4
MOV000286,2025-03-08,WH1,Склад Минск,SKU_008,outcome,44,17.28
MOV000287,2025-03-08,WH2,Склад Брест,SKU_004,outcome,27,9.36
MOV000288,2025-03-08,WH2,Склад Брест,SKU_012,outcome,32,5.4
MOV000289,2025-03-09,WH2,Склад Брест,SKU_008,outcome,50,17.28
MOV000290,2025-03-09,WH2,Склад Брест,SKU_009,outcome,34,18.72
MOV000291,2025-03-10,WH1,Склад Минск,SKU_003,income,256,12.96
MOV000292,2025-03-10,WH2,Склад Брест,SKU_005,income,247,8.28
MOV000293,2025-03-10,WH1,Склад Минск,SKU_011,outcome,38,6.48
MOV000294,2025-03-10,WH2,Склад Брест,SKU_001,outcome,21,8.64
MOV000295,2025-03-10,WH2,Склад Брест,SKU_003,outcome,32,12.96
MOV000296,2025-03-11,WH1,Склад Минск,SKU_002,outcome,38,10.8
MOV000297,2025-03-11,WH2,Склад Брест,SKU_010,outcome,47,5.76
MOV000298,2025-03-12,WH2,Склад Брест,SKU_001,outcome,41,8.64
MOV000299,2025-03-12,WH2,Склад Брест,SKU_011,outcome,27,6.48
MOV000300,2025-03-13,WH1,Склад Минск,SKU_008,income,370,17.28
MOV000301,2025-03-13,WH2,Склад Брест,SKU_002,income,282,10.8
MOV000302,2025-03-13,WH2,Склад Брест,SKU_005,income,225,8.28
MOV000303,2025-03-13,WH1,Склад Минск,SKU_004,outcome,33,9.36
MOV000304,2025-03-13,WH1,Склад Минск,SKU_006,outcome,49,10.08
MOV000305,2025-03-15,WH1,Склад Минск,SKU_001,outcome,36,8.64
MOV000306,2025-03-15,WH1,Склад Минск,SKU_009,outcome,35,18.72
MOV000307,2025-03-15,WH2,Склад Брест,SKU_002,outcome,51,10.8
MOV000308,2025-03-16,WH1,Склад Минск,SKU_012,outcome,20,5.4
MOV000309,2025-03-16,WH2,Склад Брест,SKU_004,outcome,22,9.36
MOV000310,2025-03-17,WH1,Склад Минск,SKU_001,income,203,8.64
MOV000311,2025-03-17,WH1,Склад Минск,SKU_002,income,322,10.8
MOV000312,2025-03-17,WH1,Склад Минск,SKU_005,income,309,8.28
MOV000313,2025-03-17,WH1,Склад Минск,SKU_006,income,392,10.08
MOV000314,2025-03-17,WH2,Склад Брест,SKU_001,income,314,8.64
MOV000315,2025-03-17,WH2,Склад Брест,SKU_003,income,275,12.96
MOV000316,2025-03-17,WH2,Склад Брест,SKU_008,income,300,17.28
MOV000317,2025-03-17,WH1,Склад Минск,SKU_004,outcome,36,9.36
MOV000318,2025-03-17,WH1,Склад Минск,SKU_007,outcome,18,15.84
MOV000319,2025-03-17,WH1,Склад Минск,SKU_012,outcome,62,5.4
MOV000320,2025-03-17,WH2,Склад Брест,SKU_002,outcome,40,10.8
MOV000321,2025-03-18,WH1,Склад Минск,SKU_010,outcome,37,5.76
MOV000322,2025-03-18,WH1,Склад Минск,SKU_011,outcome,41,6.48
MOV000323,2025-03-19,WH1,Склад Минск,SKU_007,outcome,42,15.84
MOV000324,2025-03-19,WH2,Склад Брест,SKU_010,outcome,33,5.76
MOV000325,2025-03-20,WH1,Склад Минск,SKU_007,income,262,15.84
MOV000326,2025-03-20,WH1,Склад Минск,SKU_010,income,335,5.76
MOV000327,2025-03-20,WH2,Склад Брест,SKU_002,income,323,10.8
MOV000328,2025-03-20,WH2,Склад Брест,SKU_003,income,251,12.96
MOV000329,2025-03-20,WH2,Склад Брест,SKU_004,income,385,9.36
MOV000330,2025-03-20,WH1,Склад Минск,SKU_001,outcome,37,8.64
MOV000331,2025-03-20,WH1,Склад Минск,SKU_010,outcome,42,5.76
MOV000332,2025-03-20,WH2,Склад Брест,SKU_002,outcome,48,10.8
MOV000333,2025-03-20,WH2,Склад Брест,SKU_011,outcome,35,6.48
MOV000334,2025-03-21,WH1,Склад Минск,SKU_003,outcome,38,12.96
MOV000335,2025-03-21,WH1,Склад Минск,SKU_007,outcome,43,15.84
MOV000336,2025-03-21,WH1,Склад Минск,SKU_012,outcome,27,5.4
MOV000337,2025-03-21,WH2,Склад Брест,SKU_009,outcome,35,18.72
MOV000338,2025-03-23,WH1,Склад Минск,SKU_001,outcome,36,8.64
MOV000339,2025-03-23,WH2,Склад Брест,SKU_002,outcome,25,10.8
MOV000340,2025-03-23,WH2,Склад Брест,SKU_003,outcome,58,12.96
MOV000341,2025-03-23,WH2,Склад Брест,SKU_012,outcome,20,5.4
MOV000342,2025-03-24,WH1,Склад Минск,SKU_003,income,222,12.96
MOV000343,2025-03-24,WH1,Склад Минск,SKU_009,income,378,18.72
MOV000344,2025-03-24,WH1,Склад Минск,SKU_011,income,342,6.48
MOV000345,2025-03-24,WH2,Склад Брест,SKU_002,income,238,10.8
MOV000346,2025-03-24,WH2,Склад Брест,SKU_003,income,336,12.96
MOV000347,2025-03-24,WH2,Склад Брест,SKU_011,income,388,6.48
MOV000348,2025-03-24,WH1,Склад Минск,SKU_004,outcome,34,9.36
MOV000349,2025-03-24,WH1,Склад Минск,SKU_010,outcome,60,5.76
MOV000350,2025-03-24,WH2,Склад Брест,SKU_004,outcome,17,9.36
MOV000351,2025-03-25,WH1,Склад Минск,SKU_001,outcome,41,8.64
MOV000352,2025-03-25,WH1,Склад Минск,SKU_007,outcome,46,15.84
MOV000353,2025-03-25,WH1,Склад Минск,SKU_011,outcome,43,6.48
MOV000354,2025-03-26,WH1,Склад Минск,SKU_012,outcome,32,5.4
