month,region,chain_id,chain_name,product_group,plan_qty,mon_weight,tue_weight,wed_weight,thu_weight,fri_weight,sat_weight,sun_weight
2025-02,Гродно,CH003,Корона,Деликатесы,1414,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Гродно,CH003,Корона,Полуфабрикаты,2189,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Гомель,CH004,Гиппо,Колбасы,2808,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Гомель,CH004,Гиппо,Сосиски,2376,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Гомель,CH004,Гиппо,Деликатесы,1116,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Гомель,CH004,Гиппо,Полуфабрикаты,1728,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Минск,CH001,Евроопт,Колбасы,4680,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Минск,CH001,Евроопт,Сосиски,3960,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Минск,CH001,Евроопт,Деликатесы,1860,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Минск,CH001,Евроопт,Полуфабрикаты,2880,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Брест,CH002,Санта,Колбасы,3315,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Брест,CH002,Санта,Сосиски,2805,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Брест,CH002,Санта,Деликатесы,1318,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Брест,CH002,Санта,Полуфабрикаты,2040,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Гродно,CH003,Корона,Колбасы,3705,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Гродно,CH003,Корона,Сосиски,3135,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Гродно,CH003,Корона,Деликатесы,1472,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Гродно,CH003,Корона,Полуфабрикаты,2280,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Гомель,CH004,Гиппо,Колбасы,2925,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Гомель,CH004,Гиппо,Сосиски,2475,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Гомель,CH004,Гиппо,Деликатесы,1162,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-03,Гомель,CH004,Гиппо,Полуфабрикаты,1800,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Минск,CH001,Евроопт,Колбасы,4914,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Минск,CH001,Евроопт,Сосиски,4158,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Минск,CH001,Евроопт,Деликатесы,1953,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Минск,CH001,Евроопт,Полуфабрикаты,3024,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Брест,CH002,Санта,Колбасы,3481,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Брест,CH002,Санта,Сосиски,2945,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Брест,CH002,Санта,Деликатесы,1383,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Брест,CH002,Санта,Полуфабрикаты,2142,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Гродно,CH003,Корона,Колбасы,3890,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Гродно,CH003,Корона,Сосиски,3292,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Гродно,CH003,Корона,Деликатесы,1546,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Гродно,CH003,Корона,Полуфабрикаты,2394,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Гомель,CH004,Гиппо,Колбасы,3071,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Гомель,CH004,Гиппо,Сосиски,2599,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Гомель,CH004,Гиппо,Деликатесы,1221,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-01,Гомель,CH004,Гиппо,Полуфабрикаты,1890,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Минск,CH001,Евроопт,Колбасы,5054,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Минск,CH001,Евроопт,Сосиски,4277,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Минск,CH001,Евроопт,Деликатесы,2009,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Минск,CH001,Евроопт,Полуфабрикаты,3110,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Брест,CH002,Санта,Колбасы,3580,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Брест,CH002,Санта,Сосиски,3029,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Брест,CH002,Санта,Деликатесы,1423,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Брест,CH002,Санта,Полуфабрикаты,2203,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Гродно,CH003,Корона,Колбасы,4001,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Гродно,CH003,Корона,Сосиски,3386,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Гродно,CH003,Корона,Деликатесы,1590,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Гродно,CH003,Корона,Полуфабрикаты,2462,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Гомель,CH004,Гиппо,Колбасы,3159,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Гомель,CH004,Гиппо,Сосиски,2673,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Гомель,CH004,Гиппо,Деликатесы,1256,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-02,Гомель,CH004,Гиппо,Полуфабрикаты,1944,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Минск,CH001,Евроопт,Колбасы,5242,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Минск,CH001,Евроопт,Сосиски,4435,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Минск,CH001,Евроопт,Деликатесы,2083,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Минск,CH001,Евроопт,Полуфабрикаты,3226,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Брест,CH002,Санта,Колбасы,3713,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Брест,CH002,Санта,Сосиски,3142,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Брест,CH002,Санта,Деликатесы,1476,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Брест,CH002,Санта,Полуфабрикаты,2285,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Гродно,CH003,Корона,Колбасы,4150,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Гродно,CH003,Корона,Сосиски,3511,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Гродно,CH003,Корона,Деликатесы,1649,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Гродно,CH003,Корона,Полуфабрикаты,2554,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Гомель,CH004,Гиппо,Колбасы,3276,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Гомель,CH004,Гиппо,Сосиски,2772,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Гомель,CH004,Гиппо,Деликатесы,1302,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2026-03,Гомель,CH004,Гиппо,Полуфабрикаты,2016,1.0,1.0,1.0,1.0,1.0,0.55,0.25
