doc_id,date,region,chain_id,chain_name,customer_id,sku_id,product_group,qty,revenue_byn
S20250224-CH004-01123,2025-02-24,Гомель,CH004,Гиппо,CUST_CH004,SKU_010,Полуфабрикаты,77,618.25
S20250208-CH001-00775,2025-02-08,Минск,CH001,Евроопт,CUST_CH001,SKU_010,Полуфабрикаты,65,542.33
S20260304-CH003-03138,2026-03-04,Гродно,CH003,Корона,CUST_CH003,SKU_010,Полуфабрикаты,54,433.28
S20250202-CH004-00659,2025-02-02,Гомель,CH004,Гиппо,CUST_CH004,SKU_011,Полуфабрикаты,40,356.15
S20250218-CH003-00980,2025-02-18,Гродно,CH003,Корона,CUST_CH003,SKU_006,Сосиски,69,973.55
S20250119-CH004-00376,2025-01-19,Гомель,CH004,Гиппо,CUST_CH004,SKU_005,Сосиски,42,460.15
S20260112-CH002-02078,2026-01-12,Брест,CH002,Санта,CUST_CH002,SKU_010,Полуфабрикаты,76,603.38
S20250216-CH003-00940,2025-02-16,Гродно,CH003,Корона,CUST_CH003,SKU_008,Деликатесы,5,116.62
S20250104-CH002-00076,2025-01-04,Брест,CH002,Санта,CUST_CH002,SKU_010,Полуфабрикаты,58,469.63
S20250119-CH003-00370,2025-01-19,Гродно,CH003,Корона,CUST_CH003,SKU_009,Деликатесы,51,1373.08
S20260223-CH004-02968,2026-02-23,Гомель,CH004,Гиппо,CUST_CH004,SKU_011,Полуфабрикаты,87,795.11
S20260112-CH001-02069,2026-01-12,Минск,CH001,Евроопт,CUST_CH001,SKU_002,Колбасы,60,910.65
S20260126-CH003-02377,2026-01-26,Гродно,CH003,Корона,CUST_CH003,SKU_006,Сосиски,57,786.64
S20260326-CH001-03587,2026-03-26,Минск,CH001,Евроопт,CUST_CH001,SKU_005,Сосиски,58,681.09
S20260122-CH001-02289,2026-01-22,Минск,CH001,Евроопт,CUST_CH001,SKU_007,Деликатесы,12,280.82
S20250111-CH001-00220,2025-01-11,Минск,CH001,Евроопт,CUST_CH001,SKU_003,Колбасы,31,556.92
S20250126-CH001-00512,2025-01-26,Минск,CH001,Евроопт,CUST_CH001,SKU_006,Сосиски,54,812.68
S20250128-CH004-00570,2025-01-28,Гомель,CH004,Гиппо,CUST_CH004,SKU_010,Полуфабрикаты,63,516.37
S20250309-CH003-01382,2025-03-09,Гродно,CH003,Корона,CUST_CH003,SKU_005,Сосиски,61,685.99
S20260319-CH001-03434,2026-03-19,Минск,CH001,Евроопт,CUST_CH001,SKU_005,Сосиски,78,871.7
S20250126-CH002-00515,2025-01-26,Брест,CH002,Санта,CUST_CH002,SKU_004,Сосиски,63,789.68
S20260120-CH003-02254,2026-01-20,Гродно,CH003,Корона,CUST_CH003,SKU_011,Полуфабрикаты,71,644.94
S20260323-CH001-03514,2026-03-23,Минск,CH001,Евроопт,CUST_CH001,SKU_OLD_005,Сосиски,66,729.05
S20260305-CH004-03161,2026-03-05,Гомель,CH004,Гиппо,CUST_CH004,SKU_012,Полуфабрикаты,80,599.84
S20260327-CH001-03615,2026-03-27,Минск,CH001,Евроопт,CUST_CH001,SKU_006,Сосиски,63,902.44
S20250210-CH001-00802,2025-02-10,Минск,CH001,Евроопт,CUST_CH001,SKU_004,Сосиски,45,568.64
S20260204-CH002-02549,2026-02-04,Брест,CH002,Санта,CUST_CH002,SKU_006,Сосиски,75,1008.78
S20250110-CH001-00197,2025-01-10,Минск,CH001,Евроопт,CUST_CH001,SKU_008,Деликатесы,9,229.85
S20260206-CH004-02605,2026-02-06,Гомель,CH004,Гиппо,CUST_CH004,SKU_005,Сосиски,44,507.1
S20260321-CH004-03493,2026-03-21,Гомель,CH004,Гиппо,CUST_CH004,SKU_009,Деликатесы,11,280.44
S20260327-CH004-03632,2026-03-27,Гомель,CH004,Гиппо,CUST_CH004,SKU_012,Полуфабрикаты,67,526.41
S20250225-CH002-01135,2025-02-25,Брест,CH002,Санта,CUST_CH002,SKU_011,Полуфабрикаты,47,421.79
S20250305-CH003-01307,2025-03-05,Гродно,CH003,Корона,CUST_CH003,SKU_003,Колбасы,47,845.81
S20250125-CH002-00501,2025-01-25,Брест,CH002,Санта,CUST_CH002,SKU_008,Деликатесы,47,1164.5
S20250204-CH001-00685,2025-02-04,Минск,CH001,Евроопт,CUST_CH001,SKU_010,Полуфабрикаты,48,372.11
S20260216-CH004-02813,2026-02-16,Гомель,CH004,Гиппо,CUST_CH004,SKU_004,Сосиски,88,1140.1
S20260305-CH003-03156,2026-03-05,Гродно,CH003,Корона,CUST_CH003,SKU_009,Деликатесы,28,758.89
S20250113-CH003-00263,2025-01-13,Гродно,CH003,Корона,CUST_CH003,SKU_002,Колбасы,44,618.31
S20250308-CH004-01372,2025-03-08,Гомель,CH004,Гиппо,CUST_CH004,SKU_012,Полуфабрикаты,50,382.33
S20250303-CH004-01269,2025-03-03,Гомель,CH004,Гиппо,CUST_CH004,SKU_012,Полуфабрикаты,62,479.95
S20250224-CH003-01117,2025-02-24,Гродно,CH003,Корона,CUST_CH003,SKU_011,Полуфабрикаты,27,250.59
S20250215-CH002-00922,2025-02-15,Брест,CH002,Санта,CUST_CH002,SKU_006,Сосиски,47,660.14
S20260206-CH002-02597,2026-02-06,Брест,CH002,Санта,CUST_CH002,SKU_OLD_001,Колбасы,69,810.86
S20250102-CH002-00031,2025-01-02,Брест,CH002,Санта,CUST_CH002,SKU_009,Деликатесы,21,542.45
S20250225-CH004-01145,2025-02-25,Гомель,CH004,Гиппо,CUST_CH004,SKU_003,Колбасы,46,869.22
S20250324-CH004-01702,2025-03-24,Гомель,CH004,Гиппо,CUST_CH004,SKU_012,Полуфабрикаты,52,388.65
S20250311-CH004-01424,2025-03-11,Гомель,CH004,Гиппо,CUST_CH004,SKU_009,Деликатесы,17,429.05
S20250324-CH001-01683,2025-03-24,Минск,CH001,Евроопт,CUST_CH001,SKU_006,Сосиски,41,613.24
S20250227-CH003-01184,2025-02-27,Гродно,CH003,Корона,CUST_CH003,SKU_005,Сосиски,47,508.2
S20260213-CH001-02731,2026-02-13,Минск,CH001,Евроопт,CUST_CH001,SKU_003,Колбасы,60,1104.93
S20260122-CH003-02301,2026-01-22,Гродно,CH003,Корона,CUST_CH003,SKU_OLD_001,Колбасы,57,706.44
S20260302-CH003-03088,2026-03-02,Гродно,CH003,Корона,CUST_CH003,SKU_001,Колбасы,66,784.7
S20260309-CH003-03228,2026-03-09,Гродно,CH003,Корона,CUST_CH003,SKU_001,Колбасы,36,416.82
S20260122-CH004-02311,2026-01-22,Гомель,CH004,Гиппо,CUST_CH004,SKU_004,Сосиски,53,730.63
S20260203-CH002-02528,2026-02-03,Брест,CH002,Санта,CUST_CH002,SKU_007,Деликатесы,11,232.5
S20260321-CH001-03480,2026-03-21,Минск,CH001,Евроопт,CUST_CH001,SKU_009,Деликатесы,72,1878.37
S20260226-CH001-03018,2026-02-26,Минск,CH001,Евроопт,CUST_CH001,SKU_006,Сосиски,39,547.33
S20250228-CH003-01207,2025-02-28,Гродно,CH003,Корона,CUST_CH003,SKU_012,Полуфабрикаты,39,283.11
S20250122-CH002-00439,2025-01-22,Брест,CH002,Санта,CUST_CH002,SKU_008,Деликатесы,20,483.76
S20260304-CH002-03130,2026-03-04,Брест,CH002,Санта,CUST_CH002,SKU_010,Полуфабрикаты,44,347.92
S20250110-CH001-00195,2025-01-10,Минск,CH001,Евроопт,CUST_CH001,SKU_005,Сосиски,68,766.21
S20260313-CH004-03324,2026-03-13,Гомель,CH004,Гиппо,CUST_CH004,SKU_003,Колбасы,69,1201.29
S20250224-CH003-01115,2025-02-24,Гродно,CH003,Корона,CUST_CH003,SKU_009,Деликатесы,5,134.58
S20250121-CH004-00421,2025-01-21,Гомель,CH004,Гиппо,CUST_CH004,SKU_003,Колбасы,54,994.96
S20250213-CH001-00872,2025-02-13,Минск,CH001,Евроопт,CUST_CH001,SKU_003,Колбасы,55,1030.26
S20260325-CH002-03567,2026-03-25,Брест,CH002,Санта,CUST_CH002,SKU_002,Колбасы,70,1053.65
S20250312-CH003-01444,2025-03-12,Гродно,CH003,Корона,CUST_CH003,SKU_006,Сосиски,43,631.25
S20260308-CH002-03202,2026-03-08,Брест,CH002,Санта,CUST_CH002,SKU_001,Колбасы,54,659.44
S20250204-CH004-00702,2025-02-04,Гомель,CH004,Гиппо,CUST_CH004,SKU_003,Колбасы,71,1310.16
S20260227-CH003-03049,2026-02-27,Гродно,CH003,Корона,CUST_CH003,SKU_004,Сосиски,42,547.67
S20250105-CH003-00096,2025-01-05,Гродно,CH003,Корона,CUST_CH003,SKU_007,Деликатесы,21,475.85
S20260308-CH001-03198,2026-03-08,Минск,CH001,Евроопт,CUST_CH001,SKU_002,Колбасы,47,724.97
S20250326-CH001-01734,2025-03-26,Минск,CH001,Евроопт,CUST_CH001,SKU_011,Полуфабрикаты,45,406.87
S20250105-CH001-00088,2025-01-05,Минск,CH001,Евроопт,CUST_CH001,SKU_012,Полуфабрикаты,58,447.59
S20250310-CH003-01399,2025-03-10,Гродно,CH003,Корона,CUST_CH003,SKU_007,Деликатесы,33,680.62
S20250327-CH004-01778,2025-03-27,Гомель,CH004,Гиппо,CUST_CH004,SKU_009,Деликатесы,4,103.88
S20260310-CH004-03256,2026-03-10,Гомель,CH004,Гиппо,CUST_CH004,SKU_007,Деликатесы,54,1224.69
S20260128-CH004-02420,2026-01-28,Гомель,CH004,Гиппо,CUST_CH004,SKU_005,Сосиски,81,910.19
S20260305-CH002-03148,2026-03-05,Брест,CH002,Санта,CUST_CH002,SKU_003,Колбасы,42,773.96
S20260302-CH004-03096,2026-03-02,Гомель,CH004,Гиппо,CUST_CH004,SKU_008,Деликатесы,48,1108.6
S20250214-CH002-00904,2025-02-14,Брест,CH002,Санта,CUST_CH002,SKU_004,Сосиски,58,767.43
S20250303-CH002-01253,2025-03-03,Брест,CH002,Санта,CUST_CH002,SKU_009,Деликатесы,11,277.74
S20260124-CH003-02346,2026-01-24,Гродно,CH003,Корона,CUST_CH003,SKU_011,Полуфабрикаты,59,535.52
S20260117-CH002-02186,2026-01-17,Брест,CH002,Санта,CUST_CH002,SKU_005,Сосиски,33,372.25
S20260111-CH004-02068,2026-01-11,Гомель,CH004,Гиппо,CUST_CH004,SKU_011,Полуфабрикаты,59,523.78
S20250320-CH004-01611,2025-03-20,Гомель,CH004,Гиппо,CUST_CH004,SKU_003,Колбасы,36,665.18
S20250224-CH002-01109,2025-02-24,Брест,CH002,Санта,CUST_CH002,SKU_012,Полуфабрикаты,48,359.17
S20250228-CH004-01211,2025-02-28,Гомель,CH004,Гиппо,CUST_CH004,SKU_010,Полуфабрикаты,69,574.6
S20250318-CH001-01546,2025-03-18,Минск,CH001,Евроопт,CUST_CH001,SKU_001,Колбасы,26,320.3
S20260225-CH004-03011,2026-02-25,Гомель,CH004,Гиппо,CUST_CH004,SKU_006,Сосиски,64,908.52
S20260216-CH001-02797,2026-02-16,Минск,CH001,Евроопт,CUST_CH001,SKU_008,Деликатесы,19,462.11
S20260227-CH002-03046,2026-02-27,Брест,CH002,Санта,CUST_CH002,SKU_011,Полуфабрикаты,72,650.12
S20260330-CH001-03660,2026-03-30,Минск,CH001,Евроопт,CUST_CH001,SKU_OLD_001,Колбасы,66,741.85
S20250107-CH001-00125,2025-01-07,Минск,CH001,Евроопт,CUST_CH001,SKU_006,Сосиски,79,1121.68
S20250109-CH003-00182,2025-01-09,Гродно,CH003,Корона,CUST_CH003,SKU_003,Колбасы,53,967.41
S20260331-CH002-03693,2026-03-31,Брест,CH002,Санта,CUST_CH002,SKU_007,Деликатесы,26,578.29
S20260112-CH003-02087,2026-01-12,Гродно,CH003,Корона,CUST_CH003,SKU_011,Полуфабрикаты,53,460.87
S20250212-CH003-00859,2025-02-12,Гродно,CH003,Корона,CUST_CH003,SKU_005,Сосиски,59,683.02
S20250121-CH003-00415,2025-01-21,Гродно,CH003,Корона,CUST_CH003,SKU_007,Деликатесы,22,479.23
S20250329-CH003-01813,2025-03-29,Гродно,CH003,Корона,CUST_CH003,SKU_004,Сосиски,74,930.08
S20260131-CH004-02481,2026-01-31,Гомель,CH004,Гиппо,CUST_CH004,SKU_011,Полуфабрикаты,56,485.83
S20250224-CH002-01105,2025-02-24,Брест,CH002,Санта,CUST_CH002,SKU_002,Колбасы,50,749.98
S20250131-CH001-00617,2025-01-31,Минск,CH001,Евроопт,CUST_CH001,SKU_007,Деликатесы,26,623.65
S20250113-CH002-00260,2025-01-13,Брест,CH002,Санта,CUST_CH002,SKU_011,Полуфабрикаты,56,517.25
S20260301-CH004-03076,2026-03-01,Гомель,CH004,Гиппо,CUST_CH004,SKU_OLD_001,Колбасы,90,1046.6
S20260127-CH002-02392,2026-01-27,Брест,CH002,Санта,CUST_CH002,SKU_007,Деликатесы,5,106.23
RET20250319-005,2025-03-19,Гомель,CH004,Гиппо,CUST_CH004,SKU_012,Полуфабрикаты,-18,-137.44
S20260111-CH004-02066,2026-01-11,Гомель,CH004,Гиппо,CUST_CH004,SKU_005,Сосиски,57,655.55
S20250225-CH003-01136,2025-02-25,Гродно,CH003,Корона,CUST_CH003,SKU_002,Колбасы,59,869.91
S20260305-CH004-03159,2026-03-05,Гомель,CH004,Гиппо,CUST_CH004,SKU_005,Сосиски,97,1094.85
S20250207-CH003-00761,2025-02-07,Гродно,CH003,Корона,CUST_CH003,SKU_002,Колбасы,72,1102.0
S20250316-CH004-01524,2025-03-16,Гомель,CH004,Гиппо,CUST_CH004,SKU_006,Сосиски,65,899.29
S20260216-CH004-02812,2026-02-16,Гомель,CH004,Гиппо,CUST_CH004,SKU_003,Колбасы,45,823.51
S20260324-CH003-03554,2026-03-24,Гродно,CH003,Корона,CUST_CH003,SKU_OLD_009,Деликатесы,5,129.32
S20250204-CH003-00695,2025-02-04,Гродно,CH003,Корона,CUST_CH003,SKU_003,Колбасы,55,963.89
S20260224-CH004-02985,2026-02-24,Гомель,CH004,Гиппо,CUST_CH004,SKU_005,Сосиски,66,743.27
S20250305-CH003-01309,2025-03-05,Гродно,CH003,Корона,CUST_CH003,SKU_009,Деликатесы,15,391.12
S20260320-CH002-03463,2026-03-20,Брест,CH002,Санта,CUST_CH002,SKU_003,Колбасы,29,497.86
S20260330-CH002-03673,2026-03-30,Брест,CH002,Санта,CUST_CH002,SKU_OLD_012,Полуфабрикаты,53,383.34
S20250320-CH004-01612,2025-03-20,Гомель,CH004,Гиппо,CUST_CH004,SKU_004,Сосиски,68,905.51
S20260122-CH002-02294,2026-01-22,Брест,CH002,Санта,CUST_CH002,SKU_004,Сосиски,77,1033.19
S20250203-CH002-00668,2025-02-03,Брест,CH002,Санта,CUST_CH002,SKU_010,Полуфабрикаты,57,450.62
S20250313-CH004-01470,2025-03-13,Гомель,CH004,Гиппо,CUST_CH004,SKU_011,Полуфабрикаты,29,257.41
S20260218-CH003-02858,2026-02-18,Гродно,CH003,Корона,CUST_CH003,SKU_012,Полуфабрикаты,67,495.01
S20260214-CH004-02773,2026-02-14,Гомель,CH004,Гиппо,CUST_CH004,SKU_007,Деликатесы,24,497.12
S20260312-CH003-03300,2026-03-12,Гродно,CH003,Корона,CUST_CH003,SKU_009,Деликатесы,5,137.92
S20260121-CH001-02259,2026-01-21,Минск,CH001,Евроопт,CUST_CH001,SKU_001,Колбасы,54,655.8
S20260327-CH001-03618,2026-03-27,Минск,CH001,Евроопт,CUST_CH001,SKU_OLD_009,Деликатесы,21,570.58
S20260122-CH003-02305,2026-01-22,Гродно,CH003,Корона,CUST_CH003,SKU_008,Деликатесы,41,955.11
S20260313-CH004-03325,2026-03-13,Гомель,CH004,Гиппо,CUST_CH004,SKU_007,Деликатесы,48,1063.42
S20260303-CH001-03097,2026-03-03,Минск,CH001,Евроопт,CUST_CH001,SKU_005,Сосиски,50,594.27
S20250128-CH003-00562,2025-01-28,Гродно,CH003,Корона,CUST_CH003,SKU_004,Сосиски,63,786.24
S20260318-CH003-03422,2026-03-18,Гродно,CH003,Корона,CUST_CH003,SKU_006,Сосиски,90,1222.48
S20250328-CH003-01796,2025-03-28,Гродно,CH003,Корона,CUST_CH003,SKU_007,Деликатесы,38,853.68
S20260201-CH002-02487,2026-02-01,Брест,CH002,Санта,CUST_CH002,SKU_011,Полуфабрикаты,44,367.09
S20250128-CH004-00565,2025-01-28,Гомель,CH004,Гиппо,CUST_CH004,SKU_OLD_001,Колбасы,54,655.46
S20260313-CH002-03315,2026-03-13,Брест,CH002,Санта,CUST_CH002,SKU_005,Сосиски,51,595.53
S20260226-CH004-03030,2026-02-26,Гомель,CH004,Гиппо,CUST_CH004,SKU_001,Колбасы,101,1237.37
S20250224-CH003-01114,2025-02-24,Гродно,CH003,Корона,CUST_CH003,SKU_005,Сосиски,74,833.12
S20260112-CH003-02086,2026-01-12,Гродно,CH003,Корона,CUST_CH003,SKU_010,Полуфабрикаты,36,286.38
S20250321-CH003-01636,2025-03-21,Гродно,CH003,Корона,CUST_CH003,SKU_010,Полуфабрикаты,46,356.76
S20250117-CH003-00341,2025-01-17,Гродно,CH003,Корона,CUST_CH003,SKU_003,Колбасы,65,1123.77
S20260324-CH002-03546,2026-03-24,Брест,CH002,Санта,CUST_CH002,SKU_008,Деликатесы,23,584.4
S20260302-CH004-03093,2026-03-02,Гомель,CH004,Гиппо,CUST_CH004,SKU_002,Колбасы,60,876.41
S20260324-CH004-03557,2026-03-24,Гомель,CH004,Гиппо,CUST_CH004,SKU_006,Сосиски,81,1096.34
S20260213-CH004-02757,2026-02-13,Гомель,CH004,Гиппо,CUST_CH004,SKU_011,Полуфабрикаты,70,635.71
S20260314-CH002-03332,2026-03-14,Брест,CH002,Санта,CUST_CH002,SKU_004,Сосиски,75,882.61
S20260121-CH001-02262,2026-01-21,Минск,CH001,Евроопт,CUST_CH001,SKU_004,Сосиски,68,948.2
S20250118-CH004-00359,2025-01-18,Гомель,CH004,Гиппо,CUST_CH004,SKU_006,Сосиски,56,788.12
S20260327-CH002-03620,2026-03-27,Брест,CH002,Санта,CUST_CH002,SKU_005,Сосиски,45,499.44
S20250330-CH002-01821,2025-03-30,Брест,CH002,Санта,CUST_CH002,SKU_002,Колбасы,44,655.78
S20250317-CH004-01544,2025-03-17,Гомель,CH004,Гиппо,CUST_CH004,SKU_009,Деликатесы,24,650.62
S20260226-CH004-03035,2026-02-26,Гомель,CH004,Гиппо,CUST_CH004,SKU_010,Полуфабрикаты,75,589.56
S20260213-CH003-02746,2026-02-13,Гродно,CH003,Корона,CUST_CH003,SKU_OLD_001,Колбасы,54,671.17
S20250320-CH003-01609,2025-03-20,Гродно,CH003,Корона,CUST_CH003,SKU_011,Полуфабрикаты,28,247.37
S20250217-CH003-00963,2025-02-17,Гродно,CH003,Корона,CUST_CH003,SKU_OLD_005,Сосиски,84,934.92
S20250326-CH001-01727,2025-03-26,Минск,CH001,Евроопт,CUST_CH001,SKU_001,Колбасы,48,564.7
S20250126-CH002-00518,2025-01-26,Брест,CH002,Санта,CUST_CH002,SKU_009,Деликатесы,21,576.08
S20250130-CH003-00604,2025-01-30,Гродно,CH003,Корона,CUST_CH003,SKU_010,Полуфабрикаты,45,351.65
S20260219-CH003-02883,2026-02-19,Гродно,CH003,Корона,CUST_CH003,SKU_010,Полуфабрикаты,62,490.46
S20250227-CH001-01171,2025-02-27,Минск,CH001,Евроопт,CUST_CH001,SKU_007,Деликатесы,37,825.99
S20250318-CH001-01550,2025-03-18,Минск,CH001,Евроопт,CUST_CH001,SKU_012,Полуфабрикаты,48,367.31
S20260219-CH003-02881,2026-02-19,Гродно,CH003,Корона,CUST_CH003,SKU_002,Колбасы,61,931.55
S20250226-CH001-01154,2025-02-26,Минск,CH001,Евроопт,CUST_CH001,SKU_010,Полуфабрикаты,63,500.77
S20260219-CH003-02882,2026-02-19,Гродно,CH003,Корона,CUST_CH003,SKU_007,Деликатесы,15,313.77
S20260312-CH004-03301,2026-03-12,Гомель,CH004,Гиппо,CUST_CH004,SKU_001,Колбасы,40,480.98
S20250331-CH003-01845,2025-03-31,Гродно,CH003,Корона,CUST_CH003,SKU_010,Полуфабрикаты,66,525.2
S20260313-CH003-03320,2026-03-13,Гродно,CH003,Корона,CUST_CH003,SKU_001,Колбасы,54,647.06
S20250305-CH004-01313,2025-03-05,Гомель,CH004,Гиппо,CUST_CH004,SKU_003,Колбасы,55,960.16
S20250306-CH003-01335,2025-03-06,Гродно,CH003,Корона,CUST_CH003,SKU_010,Полуфабрикаты,57,465.99
S20250206-CH002-00738,2025-02-06,Брест,CH002,Санта,CUST_CH002,SKU_011,Полуфабрикаты,44,404.99
S20260211-CH004-02705,2026-02-11,Гомель,CH004,Гиппо,CUST_CH004,SKU_011,Полуфабрикаты,58,542.44
